config,seed,route,rmse
matrix,10,matrix,0.121767
ind40_it80,10,conditional,0.260150
ind80_it80,10,conditional,0.260421
ind40_it160,10,conditional,0.233564
ind80_it160,10,conditional,0.233332
ind40_it320,10,conditional,0.231907
ind80_it320,10,conditional,0.223801
matrix,20,matrix,0.108275
ind40_it80,20,conditional,0.246621
ind80_it80,20,conditional,0.247739
ind40_it160,20,conditional,0.226323
ind80_it160,20,conditional,0.223379
ind40_it320,20,conditional,0.218897
ind80_it320,20,conditional,0.217947
matrix,30,matrix,0.090444
ind40_it80,30,conditional,0.234524
ind80_it80,30,conditional,0.237572
ind40_it160,30,conditional,0.218296
ind80_it160,30,conditional,0.211189
ind40_it320,30,conditional,0.208053
ind80_it320,30,conditional,0.201893
matrix,40,matrix,0.132179
ind40_it80,40,conditional,0.169928
ind80_it80,40,conditional,0.163610
ind40_it160,40,conditional,0.140427
ind80_it160,40,conditional,0.136138
ind40_it320,40,conditional,0.141848
ind80_it320,40,conditional,0.125046
matrix,50,matrix,0.104303
ind40_it80,50,conditional,0.171644
ind80_it80,50,conditional,0.163717
ind40_it160,50,conditional,0.145024
ind80_it160,50,conditional,0.143551
ind40_it320,50,conditional,0.148368
ind80_it320,50,conditional,0.144304
matrix,60,matrix,0.356579
ind40_it80,60,conditional,0.202174
ind80_it80,60,conditional,0.190009
ind40_it160,60,conditional,0.173824
ind80_it160,60,conditional,0.169336
ind40_it320,60,conditional,0.176145
ind80_it320,60,conditional,0.166876
matrix,70,matrix,0.355614
ind40_it80,70,conditional,0.158400
ind80_it80,70,conditional,0.151807
ind40_it160,70,conditional,0.131341
ind80_it160,70,conditional,0.123521
ind40_it320,70,conditional,0.120842
ind80_it320,70,conditional,0.113343
matrix,80,matrix,0.349298
ind40_it80,80,conditional,0.192035
ind80_it80,80,conditional,0.195152
ind40_it160,80,conditional,0.175260
ind80_it160,80,conditional,0.169435
ind40_it320,80,conditional,0.164210
ind80_it320,80,conditional,0.160839
