hamiltonian,route,seed,rmse
ZZ_slow,matrix,10,0.015689
ZZ_slow,conditional,10,0.079792
ZZ_slow,matrix,20,0.056543
ZZ_slow,conditional,20,0.118942
ZZ_slow,matrix,30,0.099123
ZZ_slow,conditional,30,0.155979
ZZ_slow,matrix,40,0.224786
ZZ_slow,conditional,40,0.271983
ZZ_slow,matrix,50,0.079747
ZZ_slow,conditional,50,0.143311
ZZ_fast,matrix,10,0.034280
ZZ_fast,conditional,10,0.215061
ZZ_fast,matrix,20,0.065780
ZZ_fast,conditional,20,0.248454
ZZ_fast,matrix,30,0.098741
ZZ_fast,conditional,30,0.277725
ZZ_fast,matrix,40,0.229812
ZZ_fast,conditional,40,0.374338
ZZ_fast,matrix,50,0.098743
ZZ_fast,conditional,50,0.281782
ZZ_plus_XI,matrix,10,0.100332
ZZ_plus_XI,conditional,10,0.087783
ZZ_plus_XI,matrix,20,0.047175
ZZ_plus_XI,conditional,20,0.098902
ZZ_plus_XI,matrix,30,0.039664
ZZ_plus_XI,conditional,30,0.136612
ZZ_plus_XI,matrix,40,0.032725
ZZ_plus_XI,conditional,40,0.120444
ZZ_plus_XI,matrix,50,0.039232
ZZ_plus_XI,conditional,50,0.141451
weak,matrix,10,0.008773
weak,conditional,10,0.023985
weak,matrix,20,0.076833
weak,conditional,20,0.054853
weak,matrix,30,0.024888
weak,conditional,30,0.045551
weak,matrix,40,0.061417
weak,conditional,40,0.086803
weak,matrix,50,0.062527
weak,conditional,50,0.084499
entangling,matrix,10,0.059768
entangling,conditional,10,0.158461
entangling,matrix,20,0.042677
entangling,conditional,20,0.143026
entangling,matrix,30,0.031438
entangling,conditional,30,0.120480
entangling,matrix,40,0.027052
entangling,conditional,40,0.103819
entangling,matrix,50,0.099594
entangling,conditional,50,0.190779
TFIM,matrix,10,0.038882
TFIM,conditional,10,0.161789
TFIM,matrix,20,0.059073
TFIM,conditional,20,0.156758
TFIM,matrix,30,0.036919
TFIM,conditional,30,0.158729
TFIM,matrix,40,0.054631
TFIM,conditional,40,0.178503
TFIM,matrix,50,0.053242
TFIM,conditional,50,0.160782
beating,matrix,10,0.030034
beating,conditional,10,0.124176
beating,matrix,20,0.027921
beating,conditional,20,0.117817
beating,matrix,30,0.100477
beating,conditional,30,0.171429
beating,matrix,40,0.074129
beating,conditional,40,0.129851
beating,matrix,50,0.083637
beating,conditional,50,0.158616
dephasing,matrix,10,0.025901
dephasing,conditional,10,0.119688
dephasing,matrix,20,0.027719
dephasing,conditional,20,0.112848
dephasing,matrix,30,0.053635
dephasing,conditional,30,0.106091
dephasing,matrix,40,0.042362
dephasing,conditional,40,0.090112
dephasing,matrix,50,0.030737
dephasing,conditional,50,0.108215
weak,matrix,60,0.028630
weak,conditional,60,0.017224
weak,matrix,70,0.064307
weak,conditional,70,0.087911
weak,matrix,80,0.017481
weak,conditional,80,0.042272
weak,matrix,90,0.119290
weak,conditional,90,0.140475
weak,matrix,100,0.094592
weak,conditional,100,0.073177
weak,matrix,110,0.056614
weak,conditional,110,0.081217
weak,matrix,120,0.095697
weak,conditional,120,0.118564
weak,matrix,130,0.026722
weak,conditional,130,0.050829
weak,matrix,140,0.059975
weak,conditional,140,0.042469
weak,matrix,150,0.028515
weak,conditional,150,0.051079
