# final-configuration grid: protocol x normalisation, empnoise Matern-3/2 GP, 150x300, 20 seeds 10..29, paired; wall=4943s
observable,protocol,normalisation,noise,coverage_mean,coverage_se,rmse_mean,rmse_se
XI,fixed,expected,empirical,0.999,0.001,0.0497,0.005
XI,fixed,expected,fitted,1.0,0.0,0.0506,0.0049
XI,fixed,matched,empirical,0.999,0.0007,0.0267,0.0011
XI,fixed,matched,fitted,1.0,0.0,0.0277,0.0009
XI,rerandomised,expected,empirical,1.0,0.0,0.0337,0.0008
XI,rerandomised,expected,fitted,1.0,0.0,0.0337,0.0008
XI,rerandomised,matched,empirical,0.9995,0.0005,0.0298,0.0011
XI,rerandomised,matched,fitted,1.0,0.0,0.0296,0.001
ZZ,fixed,expected,empirical,0.9735,0.0211,0.0967,0.014
ZZ,fixed,expected,fitted,0.9845,0.0155,0.0987,0.0136
ZZ,fixed,matched,empirical,1.0,0.0,0.0491,0.0018
ZZ,fixed,matched,fitted,1.0,0.0,0.0457,0.0021
ZZ,rerandomised,expected,empirical,1.0,0.0,0.0585,0.0025
ZZ,rerandomised,expected,fitted,1.0,0.0,0.0558,0.0026
ZZ,rerandomised,matched,empirical,1.0,0.0,0.0507,0.0026
ZZ,rerandomised,matched,fitted,1.0,0.0,0.0464,0.0022
