# GP vs classical smoothers on identical per-time raw series; Table 1 config (2q tfim, 100 times x 200 shadows, fixed-basis, 8 seeds 10..80, paired); wall=257s
observable,method,rmse_mean,rmse_se,paired_diff_vs_gp_matern,paired_diff_se
XI,raw,0.0919,0.0061,0.0354,0.0035
XI,gp_matern,0.0564,0.0082,0.0,0.0
XI,gp_rbf,0.05,0.0089,-0.0065,0.0026
XI,spline_gcv,0.0544,0.008,-0.0021,0.0008
XI,savgol_w9,0.0623,0.0076,0.0059,0.0011
XI,savgol_w15,0.0545,0.0084,-0.002,0.0019
XI,savgol_w25,0.0563,0.0071,-0.0002,0.0026
ZZ,raw,0.1704,0.0072,-0.0319,0.0452
ZZ,gp_matern,0.2023,0.0446,0.0,0.0
ZZ,gp_rbf,0.1313,0.0323,-0.071,0.0664
ZZ,spline_gcv,0.0983,0.0084,-0.104,0.0493
ZZ,savgol_w9,0.118,0.0066,-0.0843,0.0473
ZZ,savgol_w15,0.1066,0.0072,-0.0957,0.0483
ZZ,savgol_w25,0.0979,0.0088,-0.1044,0.0501
