# matched-budget allocation, times vs shadows per time, FINAL estimator (fresh bases, matched-count, smoothed SE, empirical-noise Matern-3/2); 10 seeds; wall=2438s
budget,times,shadows,observable,n_seeds,rmse_mean,rmse_se,coverage_mean
20000,50,400,XI,10,0.03649,0.00173,0.999
20000,50,400,ZZ,10,0.05505,0.00405,1.0
20000,100,200,XI,10,0.03683,0.00153,1.0
20000,100,200,ZZ,10,0.06562,0.00295,1.0
20000,200,100,XI,10,0.04666,0.00236,1.0
20000,200,100,ZZ,10,0.08489,0.00473,1.0
40000,100,400,XI,10,0.02963,0.00163,1.0
40000,100,400,ZZ,10,0.04394,0.00233,1.0
40000,200,200,XI,10,0.03041,0.00132,1.0
40000,200,200,ZZ,10,0.05525,0.00292,1.0
40000,400,100,XI,10,0.03677,0.00148,1.0
40000,400,100,ZZ,10,0.06432,0.00482,1.0
