# band construction comparison; 20 seeds; wall=698s
times,shadows,observable,band,seed,coverage,mean_width
20,60,XI,latent,10,1.0,0.54474
20,60,XI,predictive,10,1.0,0.89536
20,60,ZZ,latent,10,1.0,1.09836
20,60,ZZ,predictive,10,1.0,1.82436
20,60,XI,latent,11,0.95,0.58562
20,60,XI,predictive,11,0.97,0.91385
20,60,ZZ,latent,11,0.96,0.82495
20,60,ZZ,predictive,11,1.0,1.51602
20,60,XI,latent,12,0.96,0.55167
20,60,XI,predictive,12,1.0,0.87473
20,60,ZZ,latent,12,0.83,0.82495
20,60,ZZ,predictive,12,1.0,1.78296
20,60,XI,latent,13,0.95,0.58517
20,60,XI,predictive,13,1.0,0.93898
20,60,ZZ,latent,13,1.0,1.00498
20,60,ZZ,predictive,13,1.0,1.66603
20,60,XI,latent,14,0.97,0.55115
20,60,XI,predictive,14,1.0,0.88145
20,60,ZZ,latent,14,1.0,0.90261
20,60,ZZ,predictive,14,1.0,1.61638
20,60,XI,latent,15,0.98,0.55805
20,60,XI,predictive,15,0.99,0.89746
20,60,ZZ,latent,15,0.29,0.36297
20,60,ZZ,predictive,15,0.97,1.45563
20,60,XI,latent,16,0.96,0.64697
20,60,XI,predictive,16,1.0,0.99224
20,60,ZZ,latent,16,0.89,0.79088
20,60,ZZ,predictive,16,1.0,1.49094
20,60,XI,latent,17,0.85,0.51946
20,60,XI,predictive,17,0.93,0.87981
20,60,ZZ,latent,17,0.94,1.31063
20,60,ZZ,predictive,17,0.96,1.93201
20,60,XI,latent,18,0.9,0.50522
20,60,XI,predictive,18,1.0,0.84552
20,60,ZZ,latent,18,1.0,0.9701
20,60,ZZ,predictive,18,1.0,1.69998
20,60,XI,latent,19,1.0,0.54565
20,60,XI,predictive,19,1.0,0.90316
20,60,ZZ,latent,19,0.96,0.8591
20,60,ZZ,predictive,19,1.0,1.76196
20,60,XI,latent,20,1.0,0.5521
20,60,XI,predictive,20,1.0,0.91467
20,60,ZZ,latent,20,1.0,0.97786
20,60,ZZ,predictive,20,1.0,1.72806
20,60,XI,latent,21,0.97,0.59738
20,60,XI,predictive,21,1.0,0.90622
20,60,ZZ,latent,21,1.0,0.81226
20,60,ZZ,predictive,21,1.0,1.57383
20,60,XI,latent,22,0.96,0.58977
20,60,XI,predictive,22,0.99,0.91944
20,60,ZZ,latent,22,0.27,0.36912
20,60,ZZ,predictive,22,1.0,1.39849
20,60,XI,latent,23,0.9,0.55441
20,60,XI,predictive,23,0.94,0.92629
20,60,ZZ,latent,23,1.0,0.87824
20,60,ZZ,predictive,23,1.0,1.60767
20,60,XI,latent,24,0.94,0.57492
20,60,XI,predictive,24,1.0,0.93919
20,60,ZZ,latent,24,1.0,0.95206
20,60,ZZ,predictive,24,1.0,1.69115
20,60,XI,latent,25,0.91,0.52513
