# budget sweep: per-time budget x allocation x noise; 500 times; 20 seeds; exact matched sampling; wall=5255s
observable,budget_per_time,allocation,noise,rmse_mean,rmse_se,gap_pct_vs_1x,gap_se_pct
XI,200,1x,empirical,0.02405,0.00071,0.0,0.0
XI,200,2x,empirical,0.02883,0.00111,19.9,5.29
XI,200,5x,empirical,0.04624,0.00096,92.29,4.57
XI,200,1x,fitted,0.02082,0.00065,0.0,0.0
XI,200,2x,fitted,0.01926,0.00071,-7.5,4.1
XI,200,5x,fitted,0.01946,0.00053,-6.52,3.85
XI,500,1x,empirical,0.0148,0.0004,0.0,0.0
XI,500,2x,empirical,0.01664,0.00056,12.39,4.39
XI,500,5x,empirical,0.026,0.00075,75.66,4.81
XI,500,1x,fitted,0.01438,0.00037,0.0,0.0
XI,500,2x,fitted,0.01284,0.00043,-10.69,3.15
XI,500,5x,fitted,0.01261,0.0004,-12.32,3.82
XI,1000,1x,empirical,0.01092,0.00032,0.0,0.0
XI,1000,2x,empirical,0.01108,0.00026,1.45,3.5
XI,1000,5x,empirical,0.01575,0.00037,44.17,4.45
XI,1000,1x,fitted,0.01092,0.00036,0.0,0.0
XI,1000,2x,fitted,0.0097,0.00027,-11.14,3.68
XI,1000,5x,fitted,0.00977,0.0003,-10.53,4.22
XI,2000,1x,empirical,0.00758,0.00017,0.0,0.0
XI,2000,2x,empirical,0.00751,0.00025,-0.94,4.25
XI,2000,5x,empirical,0.00941,0.0002,24.2,2.79
XI,2000,1x,fitted,0.0078,0.00017,0.0,0.0
XI,2000,2x,fitted,0.00716,0.00027,-8.18,4.42
XI,2000,5x,fitted,0.00708,0.00019,-9.15,3.1
ZZ,200,1x,empirical,0.0444,0.00111,0.0,0.0
ZZ,200,2x,empirical,0.05345,0.00186,20.4,4.95
ZZ,200,5x,empirical,0.05663,0.002,27.57,4.82
ZZ,200,1x,fitted,0.03215,0.00121,0.0,0.0
ZZ,200,2x,fitted,0.03058,0.0012,-4.89,4.96
ZZ,200,5x,fitted,0.03255,0.00138,1.23,6.06
ZZ,500,1x,empirical,0.02719,0.00099,0.0,0.0
ZZ,500,2x,empirical,0.03413,0.00077,25.51,4.72
ZZ,500,5x,empirical,0.04912,0.00101,80.66,5.83
ZZ,500,1x,fitted,0.02202,0.00085,0.0,0.0
ZZ,500,2x,fitted,0.021,0.00068,-4.61,5.43
ZZ,500,5x,fitted,0.02106,0.00094,-4.37,5.48
ZZ,1000,1x,empirical,0.01881,0.00069,0.0,0.0
ZZ,1000,2x,empirical,0.02081,0.00077,10.65,5.52
ZZ,1000,5x,empirical,0.0359,0.0005,90.92,4.06
ZZ,1000,1x,fitted,0.0174,0.00065,0.0,0.0
ZZ,1000,2x,fitted,0.01532,0.00053,-11.93,4.41
ZZ,1000,5x,fitted,0.01581,0.00052,-9.13,3.64
ZZ,2000,1x,empirical,0.01333,0.00035,0.0,0.0
ZZ,2000,2x,empirical,0.01457,0.00032,9.29,2.77
ZZ,2000,5x,empirical,0.02102,0.00055,57.71,5.45
ZZ,2000,1x,fitted,0.01275,0.0003,0.0,0.0
ZZ,2000,2x,fitted,0.01154,0.00033,-9.5,3.16
ZZ,2000,5x,fitted,0.01077,0.00033,-15.52,3.18
