# XI fix probe + mechanism check; fixed-basis protocol, 20x60, Matern-3/2 sklearn, 20 seeds 10..29; empnoise=per-point alpha=se^2, fitnoise=WhiteKernel control; wall=55s
observable,seed,matched_m,scale_slope,baseline_cov
XI,10,26,1.3187,0.9833
ZZ,10,3,0.439,0.6
XI,11,20,1.063,0.5833
ZZ,11,3,0.3534,0.5833
XI,12,20,1.0511,0.9833
ZZ,12,6,1.0042,1.0
XI,13,20,0.9761,0.6333
ZZ,13,8,1.3172,1.0
XI,14,22,0.9959,0.7667
ZZ,14,5,0.725,0.9
XI,15,24,1.1683,1.0
ZZ,15,7,1.0477,1.0
XI,16,21,1.0546,0.65
ZZ,16,3,0.4676,0.6
XI,17,16,0.7512,0.6833
ZZ,17,9,1.317,1.0
XI,18,12,0.6129,0.55
ZZ,18,9,1.5005,1.0
XI,19,17,0.8888,1.0
ZZ,19,7,1.0754,1.0
XI,20,15,0.7517,0.6667
ZZ,20,12,1.7325,0.9667
XI,21,19,0.8913,0.75
ZZ,21,6,0.8454,1.0
XI,22,21,1.1092,1.0
ZZ,22,3,0.5555,0.7
XI,23,22,1.1535,0.9833
ZZ,23,5,0.7549,0.9
XI,24,28,1.3954,0.9167
ZZ,24,4,0.5552,0.7667
XI,25,24,1.2582,0.6833
ZZ,25,6,0.9953,1.0
XI,26,22,1.1319,0.6167
ZZ,26,5,0.7542,1.0
XI,27,17,0.8926,0.5833
ZZ,27,7,1.1054,1.0
XI,28,21,0.9859,0.6333
ZZ,28,5,0.8357,1.0
XI,29,22,1.1205,1.0
ZZ,29,4,0.7138,0.8167
