# 8-Hamiltonian sweep, GP arm recomputed under final method (matched-count, empirical noise, Matern-3/2), paired vs stored conditional arm (identical data per cell via make_cell_seed); <XI>, 100x200; wall=3005s
hamiltonian,seed,gp_rmse,conditional_rmse,gp_rrmse
ZZ_slow,10,0.03516,0.07979,0.04947
ZZ_slow,20,0.02523,0.11894,0.0355
ZZ_slow,30,0.02527,0.15598,0.03556
ZZ_slow,40,0.04171,0.27198,0.05869
ZZ_slow,50,0.02977,0.14331,0.04189
ZZ_slow,60,0.02542,0.06415,0.03577
ZZ_slow,70,0.02757,0.04845,0.03879
ZZ_slow,80,0.02428,0.19045,0.03416
ZZ_slow,90,0.03235,0.16396,0.04552
ZZ_slow,100,0.01576,0.14922,0.02218
ZZ_slow,110,0.02659,0.13193,0.03742
ZZ_slow,120,0.03126,0.07036,0.04398
ZZ_slow,130,0.03943,0.06324,0.05549
ZZ_slow,140,0.02507,0.051,0.03528
ZZ_slow,150,0.02683,0.04462,0.03775
ZZ_slow,160,0.02275,0.08971,0.03202
ZZ_slow,170,0.02852,0.13025,0.04014
ZZ_slow,180,0.0356,0.05776,0.0501
ZZ_slow,190,0.02086,0.05998,0.02936
ZZ_slow,200,0.02349,0.06847,0.03306
ZZ_fast,10,0.04156,0.21506,0.05852
ZZ_fast,20,0.05177,0.24845,0.07288
ZZ_fast,30,0.04546,0.27772,0.06401
ZZ_fast,40,0.05426,0.37434,0.0764
ZZ_fast,50,0.05008,0.28178,0.07051
ZZ_fast,60,0.03668,0.20474,0.05164
ZZ_fast,70,0.04009,0.17318,0.05644
ZZ_fast,80,0.05424,0.30254,0.07636
ZZ_fast,90,0.04441,0.28979,0.06252
ZZ_fast,100,0.05084,0.27098,0.07157
ZZ_fast,110,0.04861,0.2547,0.06843
ZZ_fast,120,0.04932,0.2053,0.06944
ZZ_fast,130,0.0463,0.19727,0.06519
ZZ_fast,140,0.04988,0.18565,0.07023
ZZ_fast,150,0.05144,0.16805,0.07242
ZZ_fast,160,0.04326,0.22761,0.06091
ZZ_fast,170,0.04978,0.25398,0.07009
ZZ_fast,180,0.06125,0.17041,0.08623
ZZ_fast,190,0.0455,0.20842,0.06406
ZZ_fast,200,0.04929,0.20317,0.0694
ZZ_plus_XI,10,0.03337,0.08778,0.05371
ZZ_plus_XI,20,0.04283,0.0989,0.06893
ZZ_plus_XI,30,0.04215,0.13661,0.06784
ZZ_plus_XI,40,0.03819,0.12044,0.06146
ZZ_plus_XI,50,0.04985,0.14145,0.08023
ZZ_plus_XI,60,0.03727,0.09128,0.05998
ZZ_plus_XI,70,0.0328,0.1462,0.05278
ZZ_plus_XI,80,0.0477,0.15732,0.07677
ZZ_plus_XI,90,0.0408,0.13357,0.06566
ZZ_plus_XI,100,0.02014,0.12273,0.03242
ZZ_plus_XI,110,0.03926,0.18939,0.06319
ZZ_plus_XI,120,0.02759,0.09302,0.0444
ZZ_plus_XI,130,0.05643,0.1117,0.09083
ZZ_plus_XI,140,0.03282,0.15487,0.05282
ZZ_plus_XI,150,0.04637,0.20776,0.07464
ZZ_plus_XI,160,0.04847,0.09746,0.07801
ZZ_plus_XI,170,0.03381,0.12442,0.05442
ZZ_plus_XI,180,0.0287,0.10989,0.04619
ZZ_plus_XI,190,0.0584,0.17295,0.09398
ZZ_plus_XI,200,0.04663,0.11671,0.07504
weak,10,0.01961,0.02398,0.02093
weak,20,0.0177,0.05485,0.01889
weak,30,0.02197,0.04555,0.02345
weak,40,0.01934,0.0868,0.02064
weak,50,0.02072,0.0845,0.02212
weak,60,0.01257,0.01722,0.01341
weak,70,0.0189,0.08791,0.02017
weak,80,0.00808,0.04227,0.00863
weak,90,0.02179,0.14047,0.02325
weak,100,0.02339,0.07318,0.02497
weak,110,0.00728,0.08122,0.00777
weak,120,0.02285,0.11856,0.02438
weak,130,0.017,0.05083,0.01815
weak,140,0.01701,0.04247,0.01816
weak,150,0.01913,0.05108,0.02042
weak,160,0.01629,0.12893,0.01739
weak,170,0.02587,0.03035,0.02761
weak,180,0.0133,0.02363,0.0142
weak,190,0.01059,0.15038,0.0113
weak,200,0.0192,0.04097,0.02049
entangling,10,0.0384,0.15846,0.05404
entangling,20,0.03551,0.14303,0.04997
entangling,30,0.03792,0.12048,0.05336
entangling,40,0.02439,0.10382,0.03432
entangling,50,0.04441,0.19078,0.0625
entangling,60,0.02729,0.05841,0.03841
entangling,70,0.03347,0.05607,0.0471
entangling,80,0.02525,0.1682,0.03553
entangling,90,0.03319,0.11058,0.0467
entangling,100,0.04239,0.1086,0.05965
entangling,110,0.02698,0.15744,0.03796
entangling,120,0.02956,0.12635,0.0416
entangling,130,0.04191,0.08376,0.05899
entangling,140,0.03497,0.05362,0.04922
entangling,150,0.02592,0.05597,0.03648
entangling,160,0.02154,0.1083,0.03032
entangling,170,0.03337,0.05599,0.04696
entangling,180,0.04068,0.10313,0.05725
entangling,190,0.05385,0.10926,0.07579
entangling,200,0.02302,0.05614,0.0324
TFIM,10,0.04556,0.16179,0.07683
TFIM,20,0.03583,0.15676,0.06043
TFIM,30,0.03975,0.15873,0.06704
TFIM,40,0.03339,0.1785,0.05632
TFIM,50,0.0381,0.16078,0.06425
TFIM,60,0.02554,0.14846,0.04308
TFIM,70,0.03708,0.18236,0.06254
TFIM,80,0.04708,0.16283,0.0794
TFIM,90,0.03664,0.19975,0.06179
TFIM,100,0.04775,0.14689,0.08052
TFIM,110,0.03969,0.16826,0.06694
