# MoM vs mean, estimator level; 2q TFIM, 20 times, fresh basis per snapshot; 30 seeds; paired on identical snapshots; wall=379s
observable,N,estimator,rmse_mean,rmse_se,maxerr_mean,maxerr_se,paired_diff_vs_mean,paired_diff_se
XI,60,mean,0.1958,0.0063,0.4188,0.0156,0.0,0.0
XI,60,mom5,0.2378,0.0072,0.5173,0.0177,0.042,0.0056
XI,60,mom10,0.2441,0.0057,0.5231,0.0103,0.0482,0.0055
XI,100,mean,0.1606,0.0046,0.3733,0.0193,0.0,0.0
XI,100,mom5,0.1919,0.0053,0.4316,0.0218,0.0312,0.0043
XI,100,mom10,0.1928,0.0057,0.4368,0.0207,0.0321,0.0041
XI,300,mean,0.0992,0.0023,0.2255,0.0082,0.0,0.0
XI,300,mom5,0.118,0.003,0.2688,0.0107,0.0188,0.0028
XI,300,mom10,0.1157,0.0032,0.2766,0.0117,0.0165,0.0025
XI,1000,mean,0.0459,0.0013,0.1033,0.005,0.0,0.0
XI,1000,mom5,0.0582,0.0017,0.1296,0.0057,0.0123,0.0011
XI,1000,mom10,0.057,0.0015,0.1283,0.006,0.0111,0.0011
ZZ,60,mean,0.3625,0.0112,0.8072,0.0374,0.0,0.0
ZZ,60,mom5,0.4788,0.015,1.0449,0.0405,0.1163,0.0101
ZZ,60,mom10,0.5476,0.0155,1.0881,0.0406,0.1851,0.0137
ZZ,100,mean,0.3061,0.0099,0.6835,0.0271,0.0,0.0
ZZ,100,mom5,0.3812,0.011,0.8441,0.0361,0.0751,0.0093
ZZ,100,mom10,0.3697,0.0116,0.8767,0.0302,0.0635,0.0109
ZZ,300,mean,0.1703,0.0043,0.3653,0.0117,0.0,0.0
ZZ,300,mom5,0.2108,0.0051,0.4663,0.0169,0.0405,0.0039
ZZ,300,mom10,0.1998,0.0058,0.431,0.0145,0.0295,0.0043
ZZ,1000,mean,0.0914,0.0028,0.2072,0.0089,0.0,0.0
ZZ,1000,mom5,0.1099,0.0032,0.2397,0.0089,0.0185,0.002
ZZ,1000,mom10,0.1104,0.0035,0.2507,0.0131,0.0191,0.0021
XI,1000,kurtosis,-0.045,,,,,
ZZ,1000,kurtosis,5.653,,,,,
