# partial vs full block reconstruction, final matched-Pauli estimator; 4q TFIM chain 2q block, 40x200, 15 seeds, empnoise per-element GP; wall=367s
ordering,n_entries,fraction,frob_mean,frob_se
magnitude,0,0.0,0.34059,0.00204
magnitude,1,0.1,0.33588,0.00206
magnitude,2,0.2,0.33144,0.0021
magnitude,3,0.3,0.30562,0.00219
magnitude,4,0.4,0.28915,0.00225
magnitude,5,0.5,0.27345,0.00274
magnitude,6,0.6,0.25608,0.00275
magnitude,7,0.7,0.24073,0.00276
magnitude,8,0.8,0.22756,0.00297
magnitude,9,0.9,0.21659,0.00281
magnitude,10,1.0,0.1771,0.00277
diagonal-first,0,0.0,0.34059,0.00204
diagonal-first,1,0.1,0.33576,0.00211
diagonal-first,2,0.2,0.33152,0.00223
diagonal-first,3,0.3,0.32723,0.00226
diagonal-first,4,0.4,0.32266,0.00227
diagonal-first,5,0.5,0.29607,0.00237
diagonal-first,6,0.6,0.27906,0.00244
diagonal-first,7,0.7,0.26158,0.00266
diagonal-first,8,0.8,0.24091,0.00255
diagonal-first,9,0.9,0.21659,0.00281
diagonal-first,10,1.0,0.1771,0.00277
random,0,0.0,0.34059,0.00204
random,1,0.1,0.32628,0.00333
random,2,0.2,0.31081,0.00291
random,3,0.3,0.29704,0.00388
random,4,0.4,0.28388,0.00359
random,5,0.5,0.2682,0.00436
random,6,0.6,0.25209,0.00407
random,7,0.7,0.23331,0.00411
random,8,0.8,0.21446,0.00406
random,9,0.9,0.197,0.00397
random,10,1.0,0.1771,0.00277
