# per-element rho program, matched-Pauli assembled estimator, fresh bases; MODE=shots; 500 times, N=[125, 250, 500, 1000, 2000], qubits=[2], 10 seeds, RBF, arms=['shared', 'per-elem', 'empnoise']; pattern-count sampler; wall=5979s
qubits,N,arm,frob_mean,frob_se,pct_vs_shared,paired_diff_se_pct
2,125,empnoise,0.06374,0.00117,-3.51,1.31
2,125,per-elem,0.07537,0.00176,14.09,1.99
2,125,shared,0.06606,0.00096,0.0,0.0
2,250,empnoise,0.04172,0.00105,-7.91,1.79
2,250,per-elem,0.05126,0.00145,13.15,2.01
2,250,shared,0.0453,0.00076,0.0,0.0
2,500,empnoise,0.0305,0.00044,-9.08,1.22
2,500,per-elem,0.03847,0.00088,14.67,1.75
2,500,shared,0.03355,0.00065,0.0,0.0
2,1000,empnoise,0.02038,0.00046,-14.15,1.42
2,1000,per-elem,0.02625,0.00061,10.6,1.94
2,1000,shared,0.02373,0.00042,0.0,0.0
2,2000,empnoise,0.01478,0.00021,-14.77,0.87
2,2000,per-elem,0.01895,0.00035,9.27,1.73
2,2000,shared,0.01734,0.00021,0.0,0.0
