# 3-route comparison, consistent matched-count estimator; MODE=robustness; 100 times, shadows=[40, 120, 240], 15 seeds 10..24, fixed-basis protocol (conditional requirement), paired data per seed; conditional internal estimator matched-basis; wall=11932s
observable,shadow,route,seed,rmse,rrmse,coverage_95
ZZ,40,raw,10,0.3843,0.61291,
ZZ,40,gp,10,0.15371,0.24515,1.0
ZZ,40,conditional,10,0.2433,0.38803,1.0
ZZ,40,raw,11,0.53383,0.85139,
ZZ,40,gp,11,0.24764,0.39496,1.0
ZZ,40,conditional,11,0.28235,0.45032,1.0
ZZ,40,raw,12,0.21983,0.35061,
ZZ,40,gp,12,0.08594,0.13707,1.0
ZZ,40,conditional,12,0.21772,0.34724,0.99
ZZ,40,raw,13,0.38584,0.61537,
ZZ,40,gp,13,0.12664,0.20197,1.0
ZZ,40,conditional,13,0.22777,0.36327,1.0
ZZ,40,raw,14,0.33081,0.52761,
ZZ,40,gp,14,0.08546,0.1363,1.0
ZZ,40,conditional,14,0.21031,0.33542,1.0
ZZ,40,raw,15,0.22968,0.36631,
ZZ,40,gp,15,0.1038,0.16555,1.0
ZZ,40,conditional,15,0.2023,0.32265,1.0
ZZ,40,raw,16,0.28403,0.45299,
ZZ,40,gp,16,0.17442,0.27818,1.0
ZZ,40,conditional,16,0.23657,0.37729,0.99
ZZ,40,raw,17,0.35677,0.56901,
ZZ,40,gp,17,0.13634,0.21745,1.0
ZZ,40,conditional,17,0.25052,0.39956,1.0
ZZ,40,raw,18,0.30702,0.48967,
ZZ,40,gp,18,0.14368,0.22916,1.0
ZZ,40,conditional,18,0.25523,0.40706,1.0
ZZ,40,raw,19,0.46634,0.74376,
ZZ,40,gp,19,0.13524,0.2157,1.0
ZZ,40,conditional,19,0.24282,0.38727,1.0
ZZ,40,raw,20,0.36684,0.58506,
ZZ,40,gp,20,0.13365,0.21315,1.0
ZZ,40,conditional,20,0.24194,0.38587,1.0
ZZ,40,raw,21,0.29573,0.47166,
ZZ,40,gp,21,0.1299,0.20718,1.0
ZZ,40,conditional,21,0.23892,0.38104,1.0
ZZ,40,raw,22,0.50896,0.81173,
ZZ,40,gp,22,0.16189,0.25819,1.0
ZZ,40,conditional,22,0.25656,0.40918,1.0
ZZ,40,raw,23,0.27024,0.431,
ZZ,40,gp,23,0.0996,0.15885,1.0
ZZ,40,conditional,23,0.2274,0.36268,1.0
ZZ,40,raw,24,0.44955,0.71697,
ZZ,40,gp,24,0.08776,0.13997,1.0
ZZ,40,conditional,24,0.24023,0.38313,1.0
ZZ,120,raw,10,0.21077,0.33615,
ZZ,120,gp,10,0.11031,0.17593,0.99
ZZ,120,conditional,10,0.19026,0.30344,1.0
ZZ,120,raw,11,0.15391,0.24547,
ZZ,120,gp,11,0.05967,0.09517,1.0
ZZ,120,conditional,11,0.2046,0.32632,0.88
ZZ,120,raw,12,0.19493,0.31089,
ZZ,120,gp,12,0.07832,0.12492,1.0
ZZ,120,conditional,12,0.20079,0.32024,0.96
ZZ,120,raw,13,0.19868,0.31687,
ZZ,120,gp,13,0.07245,0.11555,1.0
ZZ,120,conditional,13,0.21612,0.34469,0.95
ZZ,120,raw,14,0.27467,0.43807,
ZZ,120,gp,14,0.10803,0.1723,1.0
ZZ,120,conditional,14,0.1888,0.30112,1.0
ZZ,120,raw,15,0.19394,0.30932,
ZZ,120,gp,15,0.05766,0.09196,1.0
ZZ,120,conditional,15,0.21573,0.34407,0.91
ZZ,120,raw,16,0.35924,0.57295,
ZZ,120,gp,16,0.17266,0.27537,1.0
ZZ,120,conditional,16,0.25996,0.41461,0.99
ZZ,120,raw,17,0.1901,0.30319,
ZZ,120,gp,17,0.07123,0.1136,1.0
ZZ,120,conditional,17,0.21205,0.3382,0.98
ZZ,120,raw,18,0.17129,0.27319,
ZZ,120,gp,18,0.10333,0.1648,1.0
ZZ,120,conditional,18,0.19981,0.31867,0.98
ZZ,120,raw,19,0.16072,0.25633,
ZZ,120,gp,19,0.08502,0.13559,1.0
ZZ,120,conditional,19,0.20342,0.32444,0.92
ZZ,120,raw,20,0.14717,0.23472,
ZZ,120,gp,20,0.07291,0.11628,1.0
ZZ,120,conditional,20,0.19418,0.3097,0.92
ZZ,120,raw,21,0.20948,0.3341,
ZZ,120,gp,21,0.10729,0.17112,1.0
ZZ,120,conditional,21,0.19939,0.31801,0.95
ZZ,120,raw,22,0.17148,0.27349,
ZZ,120,gp,22,0.0687,0.10957,1.0
ZZ,120,conditional,22,0.2044,0.326,0.96
ZZ,120,raw,23,0.18392,0.29333,
ZZ,120,gp,23,0.07663,0.12221,1.0
ZZ,120,conditional,23,0.22698,0.36201,0.89
ZZ,120,raw,24,0.22346,0.3564,
ZZ,120,gp,24,0.11147,0.17778,0.99
ZZ,120,conditional,24,0.21868,0.34877,0.98
ZZ,240,raw,10,0.15725,0.2508,
ZZ,240,gp,10,0.05835,0.09306,1.0
ZZ,240,conditional,10,0.20094,0.32048,0.94
ZZ,240,raw,11,0.11571,0.18455,
ZZ,240,gp,11,0.05328,0.08497,1.0
ZZ,240,conditional,11,0.18722,0.29859,0.83
ZZ,240,raw,12,0.11181,0.17832,
ZZ,240,gp,12,0.05522,0.08808,1.0
ZZ,240,conditional,12,0.17852,0.28473,0.84
ZZ,240,raw,13,0.13655,0.21779,
ZZ,240,gp,13,0.0662,0.10558,1.0
ZZ,240,conditional,13,0.20031,0.31946,0.84
ZZ,240,raw,14,0.13519,0.21561,
ZZ,240,gp,14,0.0648,0.10335,1.0
ZZ,240,conditional,14,0.20198,0.32214,0.8
ZZ,240,raw,15,0.14583,0.23258,
ZZ,240,gp,15,0.08047,0.12835,0.99
ZZ,240,conditional,15,0.20045,0.3197,0.92
ZZ,240,raw,16,0.15398,0.24558,
ZZ,240,gp,16,0.05257,0.08384,1.0
ZZ,240,conditional,16,0.2044,0.326,0.75
ZZ,240,raw,17,0.17261,0.27529,
ZZ,240,gp,17,0.0926,0.14768,1.0
ZZ,240,conditional,17,0.19032,0.30353,0.96
ZZ,240,raw,18,0.16367,0.26103,
ZZ,240,gp,18,0.06107,0.0974,1.0
ZZ,240,conditional,18,0.19386,0.30918,0.81
ZZ,240,raw,19,0.14066,0.22434,
ZZ,240,gp,19,0.05789,0.09233,1.0
ZZ,240,conditional,19,0.22097,0.35242,0.82
ZZ,240,raw,20,0.18514,0.29527,
ZZ,240,gp,20,0.0943,0.15039,1.0
ZZ,240,conditional,20,0.20922,0.33368,0.99
ZZ,240,raw,21,0.11271,0.17976,
ZZ,240,gp,21,0.05631,0.08981,1.0
ZZ,240,conditional,21,0.20124,0.32096,0.74
ZZ,240,raw,22,0.09692,0.15457,
ZZ,240,gp,22,0.04074,0.06497,1.0
ZZ,240,conditional,22,0.18891,0.30129,0.72
ZZ,240,raw,23,0.13627,0.21734,
ZZ,240,gp,23,0.06306,0.10058,1.0
ZZ,240,conditional,23,0.20937,0.33393,0.86
ZZ,240,raw,24,0.15034,0.23977,
ZZ,240,gp,24,0.05066,0.0808,1.0
ZZ,240,conditional,24,0.21442,0.34198,0.86
