# 3-route comparison, consistent matched-count estimator; MODE=robustness; 100 times, shadows=[40, 120, 240], 15 seeds 10..24, fixed-basis protocol (conditional requirement), paired data per seed; conditional internal estimator matched-basis; wall=5919s
observable,shadow,route,seed,rmse,rrmse,coverage_95
XI,40,raw,10,0.22643,0.38187,
XI,40,gp,10,0.08739,0.14738,1.0
XI,40,conditional,10,0.16174,0.27277,1.0
XI,40,raw,11,0.19692,0.33209,
XI,40,gp,11,0.07277,0.12273,1.0
XI,40,conditional,11,0.18816,0.31732,1.0
XI,40,raw,12,0.19922,0.33597,
XI,40,gp,12,0.08582,0.14474,1.0
XI,40,conditional,12,0.17577,0.29643,0.99
XI,40,raw,13,0.2259,0.38097,
XI,40,gp,13,0.11043,0.18623,1.0
XI,40,conditional,13,0.18892,0.31861,1.0
XI,40,raw,14,0.17908,0.30201,
XI,40,gp,14,0.09158,0.15444,1.0
XI,40,conditional,14,0.16907,0.28512,1.0
XI,40,raw,15,0.14351,0.24203,
XI,40,gp,15,0.05667,0.09557,1.0
XI,40,conditional,15,0.17452,0.29432,0.98
XI,40,raw,16,0.19653,0.33144,
XI,40,gp,16,0.07317,0.1234,1.0
XI,40,conditional,16,0.1584,0.26714,1.0
XI,40,raw,17,0.17948,0.30269,
XI,40,gp,17,0.10549,0.1779,1.0
XI,40,conditional,17,0.17531,0.29565,0.99
XI,40,raw,18,0.24556,0.41412,
XI,40,gp,18,0.16841,0.28402,1.0
XI,40,conditional,18,0.23594,0.39789,1.0
XI,40,raw,19,0.18447,0.31109,
XI,40,gp,19,0.09718,0.16389,1.0
XI,40,conditional,19,0.1534,0.2587,1.0
XI,40,raw,20,0.22667,0.38227,
XI,40,gp,20,0.12558,0.21178,1.0
XI,40,conditional,20,0.21356,0.36016,0.99
XI,40,raw,21,0.18485,0.31173,
XI,40,gp,21,0.12734,0.21475,1.0
XI,40,conditional,21,0.21502,0.36262,0.97
XI,40,raw,22,0.17445,0.2942,
XI,40,gp,22,0.06691,0.11285,1.0
XI,40,conditional,22,0.13724,0.23145,0.98
XI,40,raw,23,0.19812,0.33412,
XI,40,gp,23,0.08483,0.14307,1.0
XI,40,conditional,23,0.17593,0.29669,1.0
XI,40,raw,24,0.22521,0.37981,
XI,40,gp,24,0.13698,0.23101,0.99
XI,40,conditional,24,0.14968,0.25243,1.0
XI,120,raw,10,0.11558,0.19493,
XI,120,gp,10,0.04887,0.08241,1.0
XI,120,conditional,10,0.1516,0.25567,0.87
XI,120,raw,11,0.09756,0.16453,
XI,120,gp,11,0.04325,0.07294,1.0
XI,120,conditional,11,0.14723,0.24829,0.87
XI,120,raw,12,0.119,0.20069,
XI,120,gp,12,0.05017,0.08461,1.0
XI,120,conditional,12,0.1613,0.27203,0.89
XI,120,raw,13,0.0961,0.16206,
XI,120,gp,13,0.05563,0.09382,1.0
XI,120,conditional,13,0.16111,0.2717,0.83
XI,120,raw,14,0.10378,0.17501,
XI,120,gp,14,0.04111,0.06933,1.0
XI,120,conditional,14,0.16533,0.27882,0.78
XI,120,raw,15,0.11756,0.19826,
XI,120,gp,15,0.04392,0.07407,1.0
XI,120,conditional,15,0.15017,0.25325,0.93
XI,120,raw,16,0.10737,0.18107,
XI,120,gp,16,0.04548,0.0767,1.0
XI,120,conditional,16,0.14433,0.2434,0.87
XI,120,raw,17,0.11292,0.19043,
XI,120,gp,17,0.05637,0.09507,1.0
XI,120,conditional,17,0.15377,0.25932,0.85
XI,120,raw,18,0.11306,0.19066,
XI,120,gp,18,0.06035,0.10177,1.0
XI,120,conditional,18,0.15156,0.25559,0.9
XI,120,raw,19,0.11977,0.20199,
XI,120,gp,19,0.06492,0.10949,1.0
XI,120,conditional,19,0.15491,0.26125,0.87
XI,120,raw,20,0.11094,0.1871,
XI,120,gp,20,0.05323,0.08977,1.0
XI,120,conditional,20,0.15319,0.25835,0.88
XI,120,raw,21,0.12336,0.20804,
XI,120,gp,21,0.07256,0.12237,1.0
XI,120,conditional,21,0.16666,0.28107,0.85
XI,120,raw,22,0.10064,0.16972,
XI,120,gp,22,0.03059,0.05159,1.0
XI,120,conditional,22,0.14507,0.24465,0.88
XI,120,raw,23,0.10818,0.18244,
XI,120,gp,23,0.0479,0.08078,1.0
XI,120,conditional,23,0.15929,0.26864,0.89
XI,120,raw,24,0.10674,0.18001,
XI,120,gp,24,0.04928,0.0831,1.0
XI,120,conditional,24,0.16944,0.28575,0.87
XI,240,raw,10,0.06977,0.11766,
XI,240,gp,10,0.02718,0.04584,1.0
XI,240,conditional,10,0.14891,0.25112,0.71
XI,240,raw,11,0.07656,0.12912,
XI,240,gp,11,0.04417,0.07449,1.0
XI,240,conditional,11,0.15405,0.2598,0.68
XI,240,raw,12,0.08103,0.13665,
XI,240,gp,12,0.03532,0.05957,1.0
XI,240,conditional,12,0.14519,0.24486,0.72
XI,240,raw,13,0.0919,0.15499,
XI,240,gp,13,0.04736,0.07986,1.0
XI,240,conditional,13,0.15789,0.26627,0.69
XI,240,raw,14,0.07319,0.12343,
XI,240,gp,14,0.03202,0.05399,1.0
XI,240,conditional,14,0.14976,0.25256,0.67
XI,240,raw,15,0.09231,0.15568,
XI,240,gp,15,0.04378,0.07383,1.0
XI,240,conditional,15,0.15811,0.26665,0.63
XI,240,raw,16,0.07057,0.11901,
XI,240,gp,16,0.02658,0.04482,1.0
XI,240,conditional,16,0.1579,0.26629,0.69
XI,240,raw,17,0.07936,0.13384,
XI,240,gp,17,0.03919,0.06609,1.0
XI,240,conditional,17,0.14112,0.23798,0.77
XI,240,raw,18,0.0733,0.12361,
XI,240,gp,18,0.03391,0.05719,1.0
XI,240,conditional,18,0.15784,0.26619,0.65
XI,240,raw,19,0.08203,0.13833,
XI,240,gp,19,0.04393,0.07408,0.99
XI,240,conditional,19,0.1522,0.25668,0.71
XI,240,raw,20,0.07101,0.11975,
XI,240,gp,20,0.0382,0.06442,1.0
XI,240,conditional,20,0.15091,0.2545,0.69
XI,240,raw,21,0.0744,0.12548,
XI,240,gp,21,0.03726,0.06283,1.0
XI,240,conditional,21,0.14132,0.23832,0.73
XI,240,raw,22,0.07861,0.13258,
XI,240,gp,22,0.03541,0.05972,1.0
XI,240,conditional,22,0.13691,0.23089,0.73
XI,240,raw,23,0.06892,0.11623,
XI,240,gp,23,0.0346,0.05835,1.0
