# smoothers vs GP across density ladder; matched series, fresh bases; 20 seeds; wall=1376s
observable,times,shadows,method,rmse_mean,rmse_se,diff_vs_gp,diff_se
XI,20,60,gp,0.12454,0.00536,0.0,0.0
XI,20,60,spline_gcv,0.34942,0.00069,0.22487,0.00497
XI,20,60,savgol,0.37712,0.00232,0.25257,0.00492
XI,40,100,gp,0.07561,0.00393,0.0,0.0
XI,40,100,spline_gcv,0.29514,0.02332,0.21952,0.02568
XI,40,100,savgol,0.11953,0.00258,0.04392,0.00269
XI,60,150,gp,0.0583,0.00313,0.0,0.0
XI,60,150,spline_gcv,0.07135,0.01474,0.01305,0.01404
XI,60,150,savgol,0.05689,0.00272,-0.00142,0.00115
XI,100,200,gp,0.04025,0.00135,0.0,0.0
XI,100,200,spline_gcv,0.03726,0.00162,-0.00299,0.00119
XI,100,200,savgol,0.03841,0.00133,-0.00184,0.00073
XI,150,300,gp,0.02736,0.0013,0.0,0.0
XI,150,300,spline_gcv,0.02431,0.0009,-0.00306,0.00065
XI,150,300,savgol,0.03084,0.00114,0.00347,0.00049
ZZ,20,60,gp,0.24089,0.018,0.0,0.0
ZZ,20,60,spline_gcv,0.35274,0.00914,0.11185,0.01845
ZZ,20,60,savgol,0.4232,0.00732,0.18231,0.01595
ZZ,40,100,gp,0.12374,0.00596,0.0,0.0
ZZ,40,100,spline_gcv,0.28684,0.02197,0.1631,0.02416
ZZ,40,100,savgol,0.14816,0.00537,0.02442,0.00459
ZZ,60,150,gp,0.08979,0.00483,0.0,0.0
ZZ,60,150,spline_gcv,0.16222,0.02801,0.07242,0.02949
ZZ,60,150,savgol,0.08225,0.00427,-0.00754,0.00257
ZZ,100,200,gp,0.07309,0.00441,0.0,0.0
ZZ,100,200,spline_gcv,0.06763,0.00476,-0.00546,0.00454
ZZ,100,200,savgol,0.07054,0.00242,-0.00255,0.00324
ZZ,150,300,gp,0.05113,0.00166,0.0,0.0
ZZ,150,300,spline_gcv,0.04468,0.00112,-0.00645,0.00123
ZZ,150,300,savgol,0.05495,0.00152,0.00382,0.00165
